frame_idx,centroid_x,centroid_y,visible
0,693,882,1
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,1297,343,1
7,1297,343,1
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,1270,164,1
17,1270,164,1
18,,,0
19,1270,164,1
20,1271,164,1
21,1270,164,1
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,,,0
34,,,0
35,,,0
36,1270,164,1
37,1270,164,1
38,1298,378,1
39,1298,378,1
40,1298,378,1
41,1271,164,1
42,1271,164,1
43,1271,164,1
44,1271,164,1
45,1398,1006,1
46,1398,1006,1
47,1271,164,1
48,1270,164,1
49,1271,164,1
50,1270,164,1
51,1271,164,1
52,1271,164,1
53,1271,164,1
54,,,0
55,,,0
56,,,0
57,1271,164,1
58,1270,164,1
59,1270,164,1
60,,,0
61,,,0
62,1271,164,1
63,1271,164,1
64,1271,164,1
65,1271,164,1
66,1270,164,1
67,1270,164,1
68,1270,164,1
69,1270,164,1
70,1271,164,1
71,1270,164,1
72,1271,164,1
73,1270,164,1
74,1270,164,1
75,1270,164,1
76,1270,164,1
77,1270,164,1
78,1271,164,1
79,1271,164,1
80,,,0
81,,,0
82,,,0
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,,,0
94,,,0
95,,,0
96,,,0
97,,,0
98,,,0
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,1459,526,1
105,1460,525,1
106,1452,448,1
107,1452,448,1
108,1444,425,1
109,1444,425,1
110,1437,408,1
111,1437,409,1
112,1434,395,1
113,1434,395,1
114,1292,395,1
115,1292,395,1
116,1292,395,1
117,1292,395,1
118,1417,375,1
119,1417,375,1
120,1417,375,1
121,1412,375,1
122,1291,394,1
123,1291,394,1
124,1291,394,1
125,,,0
126,,,0
127,,,0
128,1395,404,1
129,1395,404,1
130,,,0
131,,,0
132,,,0
133,,,0
134,1384,451,1
135,1384,451,1
136,1384,451,1
137,,,0
138,,,0
139,,,0
140,,,0
141,,,0
142,,,0
143,,,0
144,,,0
145,,,0
146,1370,574,1
147,1370,574,1
148,1368,602,1
149,1368,602,1
150,1368,602,1
151,,,0
152,,,0
153,,,0
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,1269,164,1
161,,,0
162,,,0
163,,,0
164,1254,588,1
165,1254,588,1
166,1234,576,1
167,1234,576,1
168,1234,576,1
169,1212,569,1
170,1212,569,1
171,1192,567,1
172,1192,567,1
173,1172,569,1
174,1172,569,1
175,1153,571,1
176,1153,571,1
177,1153,571,1
178,,,0
179,,,0
180,,,0
181,,,0
182,,,0
183,,,0
184,,,0
185,1270,164,1
186,1270,164,1
187,1057,593,1
188,1057,593,1
189,1035,588,1
190,1035,588,1
191,1035,588,1
192,1014,589,1
193,1014,589,1
194,990,591,1
195,990,591,1
196,,,0
197,,,0
198,,,0
199,,,0
200,,,0
201,907,615,1
202,907,615,1
203,879,614,1
204,879,614,1
205,879,614,1
206,851,617,1
207,819,626,1
208,818,626,1
209,818,626,1
210,790,630,1
211,790,630,1
212,760,632,1
213,760,632,1
214,760,632,1
215,730,633,1
216,730,633,1
217,704,633,1
218,704,633,1
219,679,637,1
220,679,637,1
221,,,0
222,,,0
223,655,641,1
224,1195,170,1
225,1195,170,1
226,,,0
227,1196,170,1
228,,,0
229,,,0
230,,,0
231,,,0
232,,,0
233,,,0
234,,,0
235,540,642,1
236,540,642,1
237,540,642,1
238,520,646,1
239,520,646,1
240,,,0
241,,,0
242,,,0
243,,,0
244,,,0
245,,,0
246,,,0
247,,,0
248,,,0
249,,,0
250,,,0
251,,,0
252,,,0
253,,,0
254,,,0
255,,,0
256,,,0
257,,,0
258,,,0
259,,,0
260,,,0
261,,,0
262,,,0
263,,,0
264,,,0
