frame_idx,centroid_x,centroid_y,visible
0,1246,386,1
1,,,0
2,,,0
3,,,0
4,1243,388,1
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,1728,749,1
32,,,0
33,1732,748,1
34,1732,749,1
35,1733,749,1
36,1735,750,1
37,1736,751,1
38,1736,751,1
39,1736,751,1
40,1736,752,1
41,,,0
42,,,0
43,1735,752,1
44,1735,752,1
45,1735,752,1
46,1734,751,1
47,1734,751,1
48,1734,752,1
49,1734,752,1
50,,,0
51,1732,751,1
52,,,0
53,,,0
54,1733,750,1
55,1733,750,1
56,,,0
57,,,0
58,,,0
59,,,0
60,,,0
61,,,0
62,,,0
63,988,1400,1
64,,,0
65,,,0
66,,,0
67,,,0
68,,,0
69,1745,747,1
70,1745,746,1
71,1744,747,1
72,1744,747,1
73,,,0
74,,,0
75,,,0
76,,,0
77,1739,749,1
78,1739,749,1
79,1739,748,1
80,1739,748,1
81,1739,748,1
82,1739,748,1
83,1740,746,1
84,1740,746,1
85,1740,745,1
86,1740,745,1
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,1747,744,1
94,1747,744,1
95,1748,745,1
96,1748,745,1
97,,,0
98,,,0
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,1744,745,1
107,1744,745,1
108,1686,867,1
109,1686,867,1
110,1686,864,1
111,1687,864,1
112,1687,864,1
113,1689,865,1
114,,,0
115,1692,867,1
116,1690,869,1
117,1690,869,1
118,1690,870,1
119,1690,870,1
120,1689,871,1
121,1726,746,1
122,1726,746,1
123,1728,745,1
124,1727,745,1
125,,,0
126,,,0
127,1728,745,1
128,1725,746,1
129,,,0
130,,,0
131,,,0
132,1719,745,1
133,1719,743,1
134,1720,741,1
135,,,0
136,,,0
137,,,0
138,,,0
139,,,0
140,,,0
141,,,0
142,,,0
143,,,0
144,,,0
145,,,0
146,,,0
147,,,0
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,,,0
161,,,0
162,1192,665,1
163,1198,650,1
164,1201,631,1
165,,,0
166,,,0
167,,,0
168,,,0
169,1230,398,1
170,,,0
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,1217,395,1
177,1216,397,1
178,1176,885,1
179,1215,400,1
180,1181,589,1
181,1211,403,1
182,1165,513,1
183,1170,482,1
184,1172,475,1
185,1177,460,1
186,1211,409,1
187,1212,408,1
188,1213,409,1
189,1213,408,1
190,1198,434,1
191,1204,434,1
192,1206,435,1
193,,,0
194,,,0
195,,,0
196,,,0
197,1238,471,1
198,1246,485,1
199,1249,492,1
200,1219,406,1
201,1218,404,1
202,1218,402,1
203,1218,399,1
204,1218,396,1
205,1217,396,1
206,1217,396,1
207,1216,404,1
208,1217,403,1
209,1218,404,1
210,,,0
211,,,0
212,1371,446,1
213,1378,444,1
214,1225,408,1
215,1230,413,1
216,1416,443,1
217,1235,414,1
218,1236,414,1
219,1461,458,1
220,1470,462,1
221,1236,411,1
222,1237,409,1
223,1238,409,1
224,1240,408,1
225,1243,408,1
226,1248,407,1
227,1255,406,1
228,1259,408,1
229,,,0
230,,,0
231,,,0
232,1585,539,1
233,1590,540,1
