frame_idx,centroid_x,centroid_y,visible
0,1187,726,1
1,1198,718,1
2,1205,708,1
3,1212,691,1
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,1262,799,1
25,,,0
26,1236,672,1
27,1228,636,1
28,1224,573,1
29,1222,539,1
30,1239,492,1
31,1248,472,1
32,1253,464,1
33,,,0
34,,,0
35,,,0
36,,,0
37,,,0
38,,,0
39,1304,424,1
40,1308,425,1
41,1316,429,1
42,1321,432,1
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,,,0
49,,,0
50,,,0
51,,,0
52,,,0
53,,,0
54,1378,616,1
55,,,0
56,1385,614,1
57,,,0
58,,,0
59,,,0
60,,,0
61,,,0
62,,,0
63,,,0
64,,,0
65,,,0
66,1508,465,1
67,1541,468,1
68,1558,468,1
69,1591,476,1
70,1606,481,1
71,1638,489,1
72,1670,502,1
73,1686,510,1
74,,,0
75,1744,487,1
76,1744,487,1
77,1770,470,1
78,1783,463,1
79,1810,452,1
80,1836,442,1
81,1849,438,1
82,,,0
83,1888,431,1
84,1912,428,1
85,1912,428,1
86,1937,429,1
87,,,0
88,,,0
89,1984,437,1
90,1984,437,1
91,1997,440,1
92,1997,440,1
93,2019,450,1
94,2019,450,1
95,,,0
96,,,0
97,,,0
98,,,0
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,,,0
109,,,0
110,,,0
111,,,0
112,,,0
113,,,0
114,,,0
115,,,0
116,,,0
117,,,0
118,,,0
119,,,0
120,,,0
121,,,0
122,,,0
123,,,0
124,1565,356,1
125,1565,356,1
126,,,0
127,,,0
128,,,0
129,,,0
130,,,0
131,,,0
132,,,0
133,,,0
134,,,0
135,,,0
136,,,0
137,,,0
138,,,0
139,,,0
140,,,0
141,,,0
142,,,0
143,,,0
144,,,0
145,,,0
146,,,0
147,,,0
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,,,0
161,,,0
162,,,0
163,,,0
164,,,0
165,,,0
166,2011,94,1
167,,,0
168,,,0
169,,,0
170,,,0
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,,,0
178,,,0
179,,,0
180,,,0
181,,,0
182,,,0
183,,,0
184,,,0
185,,,0
186,,,0
187,,,0
188,,,0
189,,,0
190,,,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
196,,,0
197,,,0
198,,,0
199,,,0
200,,,0
