frame_idx,centroid_x,centroid_y,visible
0,,,0
1,1108,961,1
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,1229,464,1
34,1235,447,1
35,,,0
36,,,0
37,,,0
38,,,0
39,,,0
40,,,0
41,,,0
42,,,0
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,1307,459,1
49,1313,476,1
50,1318,496,1
51,1321,506,1
52,1326,530,1
53,1331,554,1
54,1335,565,1
55,1339,583,1
56,1341,552,1
57,1342,536,1
58,,,0
59,1346,485,1
60,1348,361,1
61,1347,454,1
62,1346,476,1
63,1342,507,1
64,,,0
65,1334,518,1
66,1333,510,1
67,1330,498,1
68,1326,490,1
69,1325,488,1
70,1321,485,1
71,1317,483,1
72,1316,482,1
73,,,0
74,,,0
75,,,0
76,,,0
77,,,0
78,,,0
79,,,0
80,,,0
81,,,0
82,1282,552,1
83,1277,548,1
84,1274,548,1
85,1270,548,1
86,1265,550,1
87,1262,552,1
88,1262,552,1
89,,,0
90,,,0
91,,,0
92,1252,569,1
93,,,0
94,,,0
95,,,0
96,,,0
97,1240,572,1
98,1240,572,1
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,,,0
109,,,0
110,,,0
111,,,0
112,,,0
113,,,0
114,,,0
115,,,0
116,,,0
117,,,0
118,,,0
119,,,0
120,,,0
121,,,0
122,,,0
123,,,0
124,,,0
125,,,0
126,,,0
127,,,0
128,,,0
129,,,0
130,,,0
131,,,0
132,,,0
133,,,0
134,,,0
135,,,0
136,,,0
137,,,0
138,,,0
139,1128,759,1
140,1128,759,1
141,1077,760,1
142,1077,760,1
143,,,0
144,,,0
145,,,0
146,,,0
147,,,0
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,,,0
156,1092,624,1
157,,,0
158,,,0
159,,,0
160,,,0
161,1077,628,1
162,1077,628,1
163,,,0
164,,,0
165,1067,631,1
166,1067,631,1
167,1061,633,1
168,1061,633,1
169,1059,634,1
170,1059,634,1
171,1053,635,1
172,1053,635,1
173,1048,636,1
174,1046,637,1
175,1046,637,1
176,1040,637,1
177,1040,637,1
178,,,0
179,,,0
180,,,0
181,,,0
182,,,0
183,,,0
184,,,0
185,,,0
186,,,0
187,,,0
188,,,0
189,,,0
190,,,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
196,,,0
197,,,0
198,,,0
199,,,0
200,,,0
201,,,0
202,,,0
203,,,0
204,,,0
205,,,0
206,,,0
207,,,0
208,,,0
