frame_idx,centroid_x,centroid_y,visible
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,,,0
34,,,0
35,,,0
36,,,0
37,892,397,1
38,892,397,1
39,892,398,1
40,892,398,1
41,907,386,1
42,907,386,1
43,920,382,1
44,920,382,1
45,935,382,1
46,935,382,1
47,950,387,1
48,950,387,1
49,,,0
50,,,0
51,,,0
52,,,0
53,,,0
54,,,0
55,,,0
56,,,0
57,,,0
58,,,0
59,,,0
60,,,0
61,,,0
62,,,0
63,,,0
64,,,0
65,,,0
66,,,0
67,,,0
68,,,0
69,,,0
70,1111,736,1
71,1112,695,1
72,,,0
73,,,0
74,,,0
75,,,0
76,,,0
77,,,0
78,,,0
79,,,0
80,,,0
81,,,0
82,,,0
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,,,0
94,,,0
95,,,0
96,,,0
97,,,0
98,,,0
99,,,0
100,1311,633,1
101,1318,634,1
102,1324,639,1
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,1358,685,1
109,,,0
110,,,0
111,,,0
112,,,0
113,,,0
114,1404,698,1
115,,,0
116,,,0
117,,,0
118,,,0
119,1440,710,1
120,1449,711,1
121,1458,713,1
122,1467,714,1
123,1467,714,1
124,1467,714,1
125,1467,714,1
126,1477,713,1
127,1477,713,1
128,1486,718,1
129,1486,718,1
130,1494,718,1
131,1494,718,1
132,,,0
133,,,0
134,,,0
135,,,0
136,,,0
137,,,0
138,,,0
139,,,0
140,,,0
141,,,0
142,,,0
143,,,0
144,,,0
145,,,0
146,,,0
147,,,0
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,,,0
161,,,0
162,,,0
163,,,0
164,,,0
165,,,0
166,,,0
167,,,0
168,,,0
169,,,0
170,,,0
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,,,0
