frame_idx,centroid_x,centroid_y,visible
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,,,0
34,,,0
35,,,0
36,,,0
37,,,0
38,,,0
39,,,0
40,,,0
41,,,0
42,,,0
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,,,0
49,1082,588,1
50,1082,588,1
51,1082,588,1
52,1095,650,1
53,1095,650,1
54,1095,650,1
55,,,0
56,,,0
57,,,0
58,,,0
59,,,0
60,,,0
61,,,0
62,,,0
63,,,0
64,,,0
65,,,0
66,,,0
67,,,0
68,,,0
69,,,0
70,1122,441,1
71,1122,441,1
72,1134,408,1
73,1134,409,1
74,1134,409,1
75,1143,380,1
76,1143,380,1
77,1152,357,1
78,1152,357,1
79,1152,357,1
80,1161,340,1
81,1161,340,1
82,1169,323,1
83,1168,323,1
84,1169,323,1
85,1178,315,1
86,1186,310,1
87,1186,310,1
88,1193,310,1
89,1192,310,1
90,1197,312,1
91,1197,312,1
92,1197,312,1
93,1203,317,1
94,1204,317,1
95,1209,328,1
96,1209,328,1
97,1209,328,1
98,1214,340,1
99,1214,340,1
100,1218,355,1
101,1218,355,1
102,1218,355,1
103,1221,375,1
104,1221,375,1
105,,,0
106,,,0
107,,,0
108,1227,423,1
109,,,0
110,,,0
111,,,0
112,,,0
113,1233,512,1
114,1232,512,1
115,1232,512,1
116,1237,544,1
117,1237,544,1
118,,,0
119,,,0
120,,,0
121,,,0
122,,,0
123,1225,546,1
124,1225,546,1
125,1225,546,1
126,,,0
127,1212,519,1
128,1198,494,1
129,1198,494,1
130,1184,475,1
131,1169,455,1
132,1169,455,1
133,1169,455,1
134,1158,445,1
135,1158,445,1
136,1144,433,1
137,1144,433,1
138,1144,433,1
139,1132,428,1
140,1132,427,1
141,1120,425,1
142,1120,425,1
143,1120,425,1
144,1108,424,1
145,1108,424,1
146,1098,427,1
147,1098,427,1
148,1098,427,1
149,1087,433,1
150,1087,433,1
151,1075,441,1
152,1066,455,1
153,1066,455,1
154,,,0
155,,,0
156,,,0
157,1045,488,1
158,1045,488,1
159,,,0
160,,,0
161,,,0
162,,,0
163,,,0
164,,,0
165,,,0
166,,,0
167,,,0
168,,,0
169,,,0
170,,,0
171,982,390,1
172,982,390,1
173,971,385,1
174,971,385,1
175,1626,522,1
176,960,380,1
177,948,379,1
178,948,379,1
179,948,379,1
180,937,381,1
181,937,381,1
182,926,387,1
183,927,387,1
184,927,387,1
185,916,395,1
186,916,395,1
187,906,406,1
188,906,407,1
189,906,407,1
190,893,421,1
191,894,421,1
192,883,438,1
193,883,438,1
194,883,438,1
195,872,459,1
196,861,481,1
197,861,481,1
198,861,481,1
199,850,495,1
200,840,488,1
201,840,488,1
202,840,488,1
203,830,485,1
204,830,485,1
205,821,485,1
206,821,485,1
207,821,485,1
208,813,489,1
209,812,489,1
210,803,493,1
211,803,493,1
212,803,493,1
213,794,496,1
214,794,496,1
215,,,0
216,,,0
217,,,0
218,,,0
219,,,0
220,,,0
221,,,0
222,,,0
223,,,0
224,,,0
225,,,0
226,,,0
227,,,0
228,,,0
229,,,0
230,,,0
231,,,0
232,,,0
233,,,0
234,,,0
235,,,0
236,,,0
237,,,0
238,,,0
239,,,0
240,,,0
241,,,0
242,,,0
