frame_idx,centroid_x,centroid_y,visible
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,,,0
10,,,0
11,,,0
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,,,0
19,,,0
20,,,0
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,,,0
34,,,0
35,,,0
36,,,0
37,,,0
38,,,0
39,1175,645,1
40,,,0
41,,,0
42,,,0
43,,,0
44,,,0
45,,,0
46,,,0
47,,,0
48,,,0
49,,,0
50,,,0
51,,,0
52,,,0
53,,,0
54,,,0
55,,,0
56,,,0
57,,,0
58,,,0
59,,,0
60,,,0
61,1172,470,1
62,1173,465,1
63,1175,458,1
64,1177,454,1
65,1179,454,1
66,1181,454,1
67,1183,455,1
68,1185,457,1
69,1186,462,1
70,1186,462,1
71,1189,470,1
72,1192,474,1
73,1192,485,1
74,1194,499,1
75,,,0
76,1197,520,1
77,1198,538,1
78,,,0
79,1202,545,1
80,,,0
81,,,0
82,1207,501,1
83,,,0
84,,,0
85,,,0
86,,,0
87,,,0
88,,,0
89,,,0
90,,,0
91,,,0
92,,,0
93,,,0
94,,,0
95,1286,403,1
96,1286,402,1
97,,,0
98,,,0
99,,,0
100,,,0
101,,,0
102,,,0
103,,,0
104,,,0
105,,,0
106,,,0
107,,,0
108,,,0
109,1265,418,1
110,1262,425,1
111,1258,437,1
112,1258,437,1
113,1255,452,1
114,1253,460,1
115,1253,460,1
116,,,0
117,1245,501,1
118,,,0
119,1239,537,1
120,1236,564,1
121,1234,570,1
122,,,0
123,1239,552,1
124,1239,552,1
125,1240,548,1
126,1242,545,1
127,1245,544,1
128,1272,767,1
129,1247,544,1
130,1250,548,1
131,1251,551,1
132,,,0
133,1254,571,1
134,1256,578,1
135,1258,584,1
136,1260,581,1
137,1260,581,1
138,1260,581,1
139,1262,581,1
140,1263,583,1
141,1264,585,1
142,,,0
143,1267,592,1
144,1268,591,1
145,1269,593,1
146,1271,596,1
147,1270,600,1
148,1273,600,1
149,1273,602,1
150,1274,603,1
151,1274,603,1
152,,,0
153,1278,606,1
154,,,0
155,,,0
156,1281,610,1
157,1284,610,1
158,1284,610,1
159,1285,612,1
160,1285,614,1
161,1285,615,1
162,1286,615,1
163,1287,616,1
164,1288,616,1
165,,,0
166,1292,620,1
167,1292,620,1
168,1293,621,1
169,,,0
170,,,0
171,1294,622,1
172,1294,622,1
173,,,0
174,,,0
175,,,0
176,,,0
177,1299,627,1
178,1299,627,1
179,1300,628,1
180,1300,628,1
181,1301,629,1
182,1301,629,1
183,1302,631,1
184,1302,631,1
185,1303,631,1
186,1303,631,1
187,1305,633,1
188,1305,633,1
189,1307,634,1
190,1307,634,1
191,1307,635,1
192,1309,637,1
193,1309,637,1
194,1310,638,1
195,1310,638,1
196,,,0
197,,,0
198,1314,640,1
199,1314,640,1
200,,,0
201,,,0
202,1317,641,1
203,1317,641,1
204,1319,643,1
205,1319,643,1
206,,,0
207,,,0
208,,,0
209,,,0
210,,,0
211,,,0
212,,,0
213,,,0
214,1325,648,1
215,1325,648,1
216,1326,649,1
217,1326,649,1
218,1329,651,1
219,1329,651,1
220,1331,650,1
221,1331,650,1
222,1332,652,1
223,1333,652,1
224,1334,653,1
225,1334,654,1
226,,,0
227,,,0
228,,,0
229,,,0
230,,,0
231,,,0
232,,,0
233,2010,243,1
234,,,0
235,,,0
236,,,0
237,,,0
238,,,0
239,,,0
240,,,0
241,,,0
242,,,0
243,,,0
244,,,0
245,,,0
246,,,0
247,,,0
248,,,0
249,,,0
250,,,0
251,,,0
252,,,0
253,,,0
254,,,0
255,,,0
256,,,0
257,,,0
258,,,0
259,,,0
260,,,0
261,,,0
262,,,0
263,,,0
264,,,0
265,,,0
266,,,0
267,,,0
268,,,0
269,,,0
270,1351,553,1
271,1351,553,1
272,,,0
273,,,0
