frame_idx,centroid_x,centroid_y,visible
0,1082,186,1
1,1081,186,1
2,1081,186,1
3,1081,186,1
4,1081,186,1
5,1081,186,1
6,1081,186,1
7,1081,186,1
8,1081,186,1
9,1081,186,1
10,1081,186,1
11,1081,186,1
12,1081,186,1
13,1081,186,1
14,1081,186,1
15,1081,186,1
16,1553,635,1
17,1553,635,1
18,1553,635,1
19,1553,635,1
20,1553,634,1
21,1553,634,1
22,1553,634,1
23,1553,634,1
24,1553,633,1
25,1553,633,1
26,1554,633,1
27,1081,186,1
28,1081,186,1
29,1081,186,1
30,1081,186,1
31,1553,632,1
32,1553,632,1
33,1554,633,1
34,1081,186,1
35,1081,186,1
36,1081,186,1
37,1081,186,1
38,1081,186,1
39,1081,186,1
40,1081,186,1
41,1081,186,1
42,1081,186,1
43,1081,186,1
44,1081,186,1
45,1081,186,1
46,1081,186,1
47,1553,635,1
48,1553,635,1
49,1553,635,1
50,1081,186,1
51,1081,186,1
52,1553,635,1
53,1553,635,1
54,1081,186,1
55,1081,186,1
56,1553,635,1
57,1081,186,1
58,1081,186,1
59,1081,186,1
60,1081,186,1
61,1081,186,1
62,1081,186,1
63,1081,186,1
64,1081,186,1
65,1081,186,1
66,1081,186,1
67,1081,186,1
68,1081,186,1
69,1554,637,1
70,1554,638,1
71,1554,638,1
72,1554,638,1
73,1081,186,1
74,1554,636,1
75,1554,636,1
76,1554,634,1
77,1553,634,1
78,1553,633,1
79,1553,633,1
80,1553,632,1
81,1553,632,1
82,1553,632,1
83,1553,632,1
84,1553,633,1
85,1553,633,1
86,1081,186,1
87,1081,186,1
88,1081,186,1
89,1081,186,1
90,1081,186,1
91,1081,186,1
92,1081,186,1
93,1081,186,1
94,1081,186,1
95,1081,186,1
96,1081,186,1
97,1081,186,1
98,1081,186,1
99,1081,186,1
100,1081,186,1
101,1081,186,1
102,1081,186,1
103,1081,186,1
104,1081,186,1
105,1081,186,1
106,1081,186,1
107,1081,186,1
108,1081,186,1
109,1081,186,1
110,1081,186,1
111,1081,186,1
112,1081,186,1
113,1081,186,1
114,1081,186,1
115,1081,186,1
116,1081,186,1
117,1081,186,1
118,1081,186,1
119,1081,186,1
120,1081,186,1
121,1081,186,1
122,1081,186,1
123,1081,186,1
124,1081,186,1
125,1081,186,1
126,1081,186,1
127,1081,186,1
128,1081,186,1
129,1081,186,1
130,1081,186,1
131,1081,186,1
132,1081,186,1
133,1081,186,1
134,1081,186,1
135,1081,186,1
136,1081,186,1
137,1081,186,1
